Part,Color,Quantity,,Gobrick Part,Gobrick Color
85861,'297,1,,GDS-603,'035
6039,'15,1,,GDS-2042,'090
90540,'378,1,,GDS-2136,'048
44375b,'71,1,,GDS-1188,'071
60474,'28,1,,GDS-841,'034
3942c,'15,1,,GDS-746,'090
90540,'297,1,,GDS-2136,'035
4185,'19,1,,GDS-1264,'031
74611,'0,1,,GDS-90289,'080
3794b,'84,2,,GDS-803,'084
99301,'15,2,,GDS-860,'090
65617,'15,2,,GDS-2189,'090
11090,'19,2,,GDS-1058,'031
43898,'179,2,,GDS-978,'073
3675,'15,2,,GDS-1077,'090
18646,'72,2,,GDS-705,'072
75937,'15,2,,GDS-1075,'090
43898,'15,2,,GDS-978,'090
49307,'19,2,,GDS-M255,'031
32174,'19,2,,GDS-1205,'031
61482,'378,2,,GDS-M281,'048
3176,'72,2,,GDS-846,'072
64799,'71,1,,GDS-571,'071
15068,'72,2,,GDS-659,'072
47905,'72,2,,GDS-649,'072
3623,'272,2,,GDS-503,'055
11833,'71,1,,GDS-842,'071
78257,'72,1,,GDS-90168,'072
50450,'378,1,,GDS-1313,'048
3788,'15,4,,GDS-1064,'090
18674,'330,4,,GDS-1041,'049
3176,'19,4,,GDS-846,'031
26601,'19,4,,GDS-1503,'031
30044,'71,4,,GDS-872,'071
98138,'84,4,,GDS-612,'084
34103,'15,4,,GDS-1504,'090
99781,'272,3,,GDS-640,'055
43723,'272,4,,GDS-546,'055
3678b,'72,3,,GDS-620,'072
77765,'71,4,,GDS-90157,'071
18654,'72,3,,GDS-604,'072
47755,'72,3,,GDS-1508,'072
26604,'72,4,,GDS-1046,'072
36841,'272,3,,GDS-1377,'055
3044c,'72,3,,GDS-835,'072
48165,'0,3,,GDS-90045,'080
4589b,'72,3,,GDS-606,'072
2431,'71,3,,GDS-563,'071
87087,'272,3,,GDS-635,'055
43722,'272,4,,GDS-547,'055
15535,'72,4,,GDS-965,'072
4304,'72,3,,GDS-801,'072
98585,'179,4,,GDS-1074,'073
11946,'72,2,,GDS-1183,'072
35787,'71,3,,GDS-90492,'071
14719,'272,3,,GDS-567,'055
73825,'272,3,,GDS-2140,'055
41239,'72,3,,GDS-667,'072
63965,'72,2,,GDS-905,'072
24599,'272,4,,GDS-1275,'055
65578,'71,3,,GDS-2192,'071
29120,'0,3,,GDS-1493,'080
11947,'72,2,,GDS-1184,'072
42862,'0,3,,GDS-90044,'080
